Number,Type,Name,Registration Point,Filename
1,field,variable.index,"(0, 0)",
2,script,Human Class EX,"(0, 0)",
3,script,Swimmer Class EX,"(0, 0)",
4,script,Bot Object Class,"(0, 0)",
6,script,Bodypart Class EX,"(0, 0)",
7,script,Swimpart Class EX,"(0, 0)",
9,script,Figure Data Class,"(0, 0)",
11,script,Figure System Class,"(0, 0)",
12,script,Figure Preview Class,"(0, 0)",
13,script,Human Template Class,"(0, 0)",
16,script,Respect Flash Effect Class,"(0, 0)",
17,field,dance.1,"(0, 0)",
18,field,dance.2,"(0, 0)",
19,field,dance.3,"(0, 0)",
20,field,dance.4,"(0, 0)",
21,script,Avatar Effect Manager,"(0, 0)",
22,script,Avatar Effect Class,"(0, 0)",
31,field,fx.1,"(0, 0)",
32,field,fx.2,"(0, 0)",
33,field,fx.3,"(0, 0)",
34,field,fx.4,"(0, 0)",
35,field,fx.5,"(0, 0)",
36,field,fx.6,"(0, 0)",
37,field,fx.7,"(0, 0)",
38,field,fx.8,"(0, 0)",
39,field,fx.9,"(0, 0)",
40,field,fx.10,"(0, 0)",
41,field,fx.11,"(0, 0)",
42,field,fx.12,"(0, 0)",
43,field,fx.13,"(0, 0)",
44,field,fx.14,"(0, 0)",
45,field,fx.15,"(0, 0)",
46,field,fx.16,"(0, 0)",
47,field,fx.17,"(0, 0)",
48,field,fx.18,"(0, 0)",
49,field,fx.19,"(0, 0)",
50,field,fx.20,"(0, 0)",
51,field,fx.21,"(0, 0)",
52,field,fx.22,"(0, 0)",
54,script,Human Action Priority Processor Class,"(0, 0)",
56,field,fx.23,"(0, 0)",
57,field,fx.24,"(0, 0)",
58,field,fx.25,"(0, 0)",
59,field,fx.26,"(0, 0)",
61,field,fx.TUTORIAL,"(0, 0)",
