Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
3,palette,sh_fxspotlight Palette 50,"(0, 0)",
4,bitmap,sh_std_fx1_1_1_0_0,"(-1, 8)",
5,bitmap,sh_std_fx1_2_1_0_0,"(-1, 81)",
15,palette,sh_sparkle Palette 50,"(0, 0)",
16,bitmap,sh_std_fx4_1_1_0_0,"(0, 32)",
17,bitmap,sh_std_fx4_1_1_0_1,"(0, 32)",
18,bitmap,sh_std_fx4_1_1_0_2,"(0, 32)",
19,bitmap,sh_std_fx4_1_1_0_3,"(0, 32)",
20,bitmap,sh_std_fx4_1_1_0_4,"(0, 32)",
21,bitmap,sh_std_fx4_1_1_0_5,"(0, 32)",
22,bitmap,sh_std_fx4_1_1_0_6,"(0, 32)",
23,bitmap,sh_std_fx4_1_1_0_7,"(0, 32)",
24,bitmap,sh_std_fx4_1_1_0_8,"(0, 32)",
25,bitmap,sh_std_fx4_1_1_0_9,"(0, 32)",
26,bitmap,sh_std_fx4_1_1_0_10,"(0, 32)",
27,bitmap,sh_std_fx4_1_1_0_11,"(0, 32)",
28,bitmap,sh_std_fx4_1_1_0_12,"(0, 32)",
29,bitmap,sh_std_fx4_1_1_0_13,"(0, 32)",
30,bitmap,sh_std_fx4_1_1_0_14,"(0, 32)",
31,bitmap,sh_std_fx4_1_1_0_15,"(0, 32)",
32,bitmap,sh_std_fx4_1_1_0_16,"(0, 32)",
33,bitmap,sh_std_fx4_1_1_0_17,"(0, 32)",
34,bitmap,sh_std_fx4_1_1_0_18,"(0, 32)",
35,bitmap,sh_std_fx4_1_1_0_19,"(0, 32)",
36,bitmap,sh_std_fx4_1_1_0_20,"(0, 32)",
37,bitmap,sh_std_fx4_1_1_0_21,"(0, 32)",
38,bitmap,sh_std_fx4_1_1_0_22,"(0, 32)",
39,bitmap,sh_std_fx4_1_1_0_23,"(0, 32)",
40,bitmap,sh_std_fx4_1_1_0_24,"(0, 32)",
41,bitmap,sh_std_fx4_1_1_0_25,"(0, 32)",
43,palette,sh_airboard Palette 50,"(0, 0)",
44,bitmap,sh_std_fx2_1_1_2_0,"(-3, 16)",
45,bitmap,sh_std_fx2_1_1_0_0,"(-3, 16)",
46,bitmap,sh_std_fx2_2_1_0_0,"(-1, 15)",
47,bitmap,sh_std_fx2_sd_1_2_0,"(-3, 7)",
48,bitmap,sh_std_fx2_1_1_7_0,"(-9, 20)",
49,bitmap,sh_std_fx2_1_1_3_0,"(-8, 20)",
50,bitmap,sh_std_fx2_2_1_3_0,"(-5, 20)",
51,bitmap,sh_std_fx2_sd_1_1_0,"(-8, 11)",
52,bitmap,sh_std_fx2_1_1_1_0,"(-1, 15)",
53,bitmap,sh_std_fx2_2_1_2_0,"(-1, 15)",
54,bitmap,sh_std_fx2_2_1_1_0,"(1, 15)",
55,bitmap,sh_std_fx2_sd_1_3_0,"(-1, 6)",
56,bitmap,sh_std_fx2_sd_1_0_0,"(-3, 7)",
57,palette,sh fxbflies3 palette 50,"(0, 0)",
58,bitmap,sh_std_fx7_a_0_1_1_0_13,"(-4, 39)",
59,bitmap,sh_std_fx7_a_0_1_1_0_12,"(-4, 39)",
60,bitmap,sh_std_fx7_a_0_1_1_0_11,"(-6, 42)",
61,bitmap,sh_std_fx7_a_0_1_1_0_10,"(-7, 43)",
62,bitmap,sh_std_fx7_a_0_1_1_0_9,"(-5, 45)",
63,bitmap,sh_std_fx7_a_0_1_1_0_8,"(-5, 47)",
64,bitmap,sh_std_fx7_a_0_1_1_0_7,"(-3, 23)",
65,bitmap,sh_std_fx7_a_0_1_1_0_6,"(-4, 22)",
66,bitmap,sh_std_fx7_a_0_1_1_0_5,"(-2, 22)",
67,bitmap,sh_std_fx7_a_0_1_1_0_4,"(-3, 24)",
68,bitmap,sh_std_fx7_a_0_1_1_0_3,"(-2, 21)",
69,bitmap,sh_std_fx7_a_0_1_1_0_2,"(-4, 22)",
70,bitmap,sh_std_fx7_a_0_1_1_0_1,"(-4, 23)",
71,bitmap,sh_std_fx7_a_0_1_1_0_0,"(-5, 38)",
72,bitmap,sh_std_fx7_b_0_1_1_0_13,"(-4, 44)",
73,bitmap,sh_std_fx7_b_0_1_1_0_12,"(-4, 43)",
74,bitmap,sh_std_fx7_b_0_1_1_0_11,"(-3, 46)",
75,bitmap,sh_std_fx7_0_1_1_0_10,"(-2, 45)",
76,bitmap,sh_std_fx7_b_0_1_1_0_9,"(-2, 46)",
77,bitmap,sh_std_fx7_b_0_1_1_0_8,"(-2, 45)",
78,bitmap,sh_std_fx7_b_0_1_1_0_7,"(-2, 50)",
79,bitmap,sh_std_fx7_b_0_1_1_0_6,"(-3, 48)",
80,bitmap,sh_std_fx7_b_0_1_1_0_5,"(-4, 49)",
81,bitmap,sh_std_fx7_b_0_1_1_0_4,"(-4, 46)",
82,bitmap,sh_std_fx7_b_0_1_1_0_3,"(-4, 45)",
83,bitmap,sh_std_fx7_b_0_1_1_0_2,"(-5, 41)",
84,bitmap,sh_std_fx7_b_0_1_1_0_1,"(-4, 43)",
85,bitmap,sh_std_fx7_b_0_1_1_0_0,"(-3, 48)",
87,palette,sh_fxtorchflame Palette 50,"(0, 0)",
88,bitmap,sh_std_fx5_1_1_0_0,"(-22, 20)",
89,bitmap,sh_std_fx5_1_1_1_0,"(-18, 19)",
90,bitmap,sh_std_fx5_1_1_2_0,"(-13, 17)",
91,bitmap,sh_std_fx5_1_1_3_0,"(-9, 18)",
92,bitmap,sh_std_fx5_1_1_4_0,"(-2, 20)",
93,bitmap,sh_std_fx5_1_1_5_0,"(-4, 20)",
94,bitmap,sh_std_fx5_2_1_0_0,"(-4, 44)",
95,bitmap,sh_std_fx5_2_1_0_1,"(-4, 44)",
96,bitmap,sh_std_fx5_2_1_0_2,"(-4, 44)",
97,bitmap,sh_std_fx5_3_1_0_0,"(-20, 31)",
98,bitmap,sh_std_fx5_3_1_0_1,"(-21, 32)",
99,bitmap,sh_std_fx5_3_1_0_2,"(-21, 32)",
100,bitmap,sh_std_fx5_3_1_0_3,"(-22, 33)",
101,bitmap,sh_std_fx5_3_1_0_4,"(-21, 31)",
102,bitmap,sh_std_fx5_3_1_0_5,"(-21, 32)",
