Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
11,bitmap,sh_std_ha_1_0_0,"(-5, 39)",
12,bitmap,sh_std_ha_1_1_0,"(-4, 41)",
13,bitmap,sh_std_ha_1_2_0,"(-5, 41)",
14,bitmap,sh_std_ha_1_3_0,"(-6, 40)",
15,bitmap,sh_std_ha_1_7_0,"(-6, 41)",
16,bitmap,sh_spk_ha_1_0_0,"(-5, 39)",
17,bitmap,sh_spk_ha_1_1_0,"(-4, 41)",
18,bitmap,sh_spk_ha_1_2_0,"(-5, 42)",
19,bitmap,sh_spk_ha_1_3_0,"(-6, 41)",
20,bitmap,sh_spk_ha_1_7_0,"(-6, 42)",
21,bitmap,sh_lay_ha_1_2_0,"(16, 24)",
31,bitmap,sh_std_ha_2_0_0,"(-9, 37)",
32,bitmap,sh_std_ha_2_1_0,"(-9, 38)",
33,bitmap,sh_std_ha_2_2_0,"(-8, 37)",
34,bitmap,sh_std_ha_2_3_0,"(-9, 37)",
35,bitmap,sh_std_ha_2_7_0,"(-10, 38)",
36,bitmap,sh_spk_ha_2_0_0,"(-9, 38)",
37,bitmap,sh_spk_ha_2_1_0,"(-9, 39)",
38,bitmap,sh_spk_ha_2_2_0,"(-8, 38)",
39,bitmap,sh_spk_ha_2_3_0,"(-9, 38)",
40,bitmap,sh_spk_ha_2_7_0,"(-10, 40)",
41,bitmap,sh_lay_ha_2_2_0,"(12, 22)",
51,bitmap,sh_std_ha_3_0_0,"(-7, 38)",
52,bitmap,sh_std_ha_3_1_0,"(-6, 38)",
53,bitmap,sh_std_ha_3_2_0,"(-7, 39)",
54,bitmap,sh_std_ha_3_3_0,"(-8, 39)",
55,bitmap,sh_std_ha_3_7_0,"(-9, 38)",
56,bitmap,sh_spk_ha_3_0_0,"(-7, 39)",
57,bitmap,sh_spk_ha_3_1_0,"(-6, 39)",
58,bitmap,sh_spk_ha_3_2_0,"(-7, 40)",
59,bitmap,sh_spk_ha_3_3_0,"(-8, 40)",
60,bitmap,sh_spk_ha_3_7_0,"(-9, 39)",
61,bitmap,sh_lay_ha_3_2_0,"(11, 20)",
71,bitmap,sh_std_ha_4_0_0,"(-8, 38)",
72,bitmap,sh_std_ha_4_1_0,"(-8, 38)",
73,bitmap,sh_std_ha_4_2_0,"(-7, 38)",
74,bitmap,sh_std_ha_4_3_0,"(-7, 37)",
75,bitmap,sh_std_ha_4_7_0,"(-9, 37)",
76,bitmap,sh_spk_ha_4_0_0,"(-8, 39)",
77,bitmap,sh_spk_ha_4_1_0,"(-8, 39)",
78,bitmap,sh_spk_ha_4_2_0,"(-7, 39)",
79,bitmap,sh_spk_ha_4_3_0,"(-7, 38)",
80,bitmap,sh_spk_ha_4_7_0,"(-9, 38)",
81,bitmap,sh_lay_ha_4_2_0,"(11, 19)",
91,bitmap,sh_std_ha_5_0_0,"(-8, 37)",
92,bitmap,sh_std_ha_5_1_0,"(-7, 38)",
93,bitmap,sh_std_ha_5_2_0,"(-6, 37)",
94,bitmap,sh_std_ha_5_3_0,"(-9, 37)",
95,bitmap,sh_std_ha_5_7_0,"(-10, 37)",
96,bitmap,sh_spk_ha_5_0_0,"(-8, 38)",
97,bitmap,sh_spk_ha_5_1_0,"(-7, 39)",
98,bitmap,sh_spk_ha_5_2_0,"(-6, 38)",
99,bitmap,sh_spk_ha_5_3_0,"(-9, 38)",
100,bitmap,sh_spk_ha_5_7_0,"(-10, 38)",
101,bitmap,sh_lay_ha_5_2_0,"(11, 19)",
111,bitmap,sh_std_ha_6_0_0,"(-5, 38)",
112,bitmap,sh_std_ha_6_1_0,"(-2, 38)",
113,bitmap,sh_std_ha_6_2_0,"(-4, 40)",
114,bitmap,sh_std_ha_6_3_0,"(-8, 38)",
115,bitmap,sh_std_ha_6_7_0,"(-10, 37)",
116,bitmap,sh_spk_ha_6_0_0,"(-5, 39)",
117,bitmap,sh_spk_ha_6_1_0,"(-2, 39)",
118,bitmap,sh_spk_ha_6_2_0,"(-4, 41)",
119,bitmap,sh_spk_ha_6_3_0,"(-8, 38)",
120,bitmap,sh_spk_ha_6_7_0,"(-10, 38)",
121,bitmap,sh_lay_ha_6_2_0,"(14, 18)",
131,bitmap,sh_std_ha_7_0_0,"(-5, 45)",
132,bitmap,sh_std_ha_7_1_0,"(-8, 46)",
133,bitmap,sh_std_ha_7_2_0,"(-4, 45)",
134,bitmap,sh_std_ha_7_3_0,"(-2, 45)",
135,bitmap,sh_std_ha_7_7_0,"(-3, 45)",
136,bitmap,sh_spk_ha_7_0_0,"(-5, 46)",
137,bitmap,sh_spk_ha_7_1_0,"(-8, 47)",
138,bitmap,sh_spk_ha_7_2_0,"(-4, 46)",
139,bitmap,sh_spk_ha_7_3_0,"(-2, 46)",
140,bitmap,sh_spk_ha_7_7_0,"(-3, 46)",
141,bitmap,sh_lay_ha_7_2_0,"(21, 28)",
