Number,Type,Name,Registration Point,Filename
1,field,memberalias.index,"(0, 0)",
2,palette,fxspotlight Palette,"(0, 0)",
3,bitmap,h_std_fx1_1_1_0_0,"(-4, 16)",
4,bitmap,h_std_fx1_2_1_0_0,"(-4, 163)",
6,palette,fxsparkle Palette,"(0, 0)",
7,bitmap,h_std_fx4_1_1_0_0,"(-13, 34)",
8,bitmap,h_std_fx4_1_1_0_1,"(-13, 41)",
9,bitmap,h_std_fx4_1_1_0_2,"(-12, 43)",
10,bitmap,h_std_fx4_1_1_0_3,"(-11, 46)",
11,bitmap,h_std_fx4_1_1_0_4,"(-13, 47)",
12,bitmap,h_std_fx4_1_1_0_5,"(-13, 48)",
13,bitmap,h_std_fx4_1_1_0_6,"(-24, 47)",
14,bitmap,h_std_fx4_1_1_0_7,"(-25, 46)",
15,bitmap,h_std_fx4_1_1_0_8,"(-22, 45)",
16,bitmap,h_std_fx4_1_1_0_9,"(-22, 41)",
17,bitmap,h_std_fx4_1_1_0_10,"(-13, 42)",
18,bitmap,h_std_fx4_1_1_0_11,"(-12, 45)",
19,bitmap,h_std_fx4_1_1_0_12,"(-11, 46)",
20,bitmap,h_std_fx4_1_1_0_13,"(-11, 46)",
21,bitmap,h_std_fx4_1_1_0_14,"(-13, 43)",
22,bitmap,h_std_fx4_1_1_0_15,"(-23, 43)",
23,bitmap,h_std_fx4_1_1_0_16,"(-23, 40)",
24,bitmap,h_std_fx4_1_1_0_17,"(-25, 39)",
25,bitmap,h_std_fx4_1_1_0_18,"(-13, 36)",
26,bitmap,h_std_fx4_1_1_0_19,"(-13, 37)",
27,bitmap,h_std_fx4_1_1_0_20,"(-12, 39)",
28,bitmap,h_std_fx4_1_1_0_21,"(-12, 40)",
29,bitmap,h_std_fx4_1_1_0_22,"(-12, 40)",
30,bitmap,h_std_fx4_1_1_0_23,"(-10, 39)",
31,bitmap,h_std_fx4_1_1_0_24,"(-10, 38)",
32,bitmap,h_std_fx4_1_1_0_25,"(-12, 37)",
34,palette,fxairboard blue palette,"(0, 0)",
35,bitmap,h_std_fx2_1_1_0_0,"(-8, 31)",
36,bitmap,h_std_fx2_1_1_2_0,"(-8, 31)",
37,bitmap,h_std_fx2_2_1_0_0,"(-3, 31)",
38,bitmap,h_std_fx2_sd_1_2_0,"(-8, 14)",
39,bitmap,h_std_fx2_2_1_2_0,"(-3, 31)",
40,bitmap,h_std_fx2_1_1_3_0,"(-18, 39)",
41,bitmap,h_std_fx2_1_1_7_0,"(-18, 39)",
42,bitmap,h_std_fx2_2_1_3_0,"(-13, 39)",
43,bitmap,h_std_fx2_sd_1_1_0,"(-18, 21)",
44,bitmap,h_std_fx2_sd_1_0_0,"(-8, 14)",
45,bitmap,h_std_fx2_1_1_1_0,"(-4, 30)",
47,bitmap,h_std_fx2_2_1_1_0,"(1, 31)",
48,bitmap,h_std_fx2_sd_1_3_0,"(-4, 12)",
49,bitmap,h_std_fx3_sd,"(-8, 15)",
50,palette,fxufo2 palette,"(0, 0)",
51,bitmap,h_std_fx3_2_1_0_0,"(13, 69)",
52,bitmap,h_std_fx3_3_1_0_0,"(0, 73)",
53,bitmap,h_std_fx3_1_1_0_0,"(-33, 51)",
54,bitmap,h_std_fx3_3_1_1_0,"(-4, 77)",
55,bitmap,h_std_fx3_1_1_1_0,"(-23, 54)",
56,bitmap,h_std_fx3_1_1_2_0,"(-5, 82)",
57,bitmap,h_std_fx3_3_1_2_0,"(-4, 45)",
58,bitmap,h_std_fx3_1_1_3_0,"(-5, 77)",
59,bitmap,h_std_fx3_3_1_3_0,"(-5, 42)",
60,palette,fxbflies3 palette,"(0, 0)",
61,bitmap,h_std_fx7_a_0_1_1_0_0,"(-5, 76)",
62,bitmap,h_std_fx7_a_0_1_1_0_1,"(-5, 76)",
63,bitmap,h_std_fx7_a_0_1_1_0_2,"(-9, 82)",
64,bitmap,h_std_fx7_a_0_1_1_0_3,"(-11, 83)",
65,bitmap,h_std_fx7_a_0_1_1_0_4,"(-7, 88)",
66,bitmap,h_std_fx7_a_0_1_1_0_5,"(-7, 91)",
67,bitmap,h_std_fx7_a_0_1_1_0_6,"(-3, 44)",
68,bitmap,h_std_fx7_a_0_1_1_0_7,"(-5, 42)",
69,bitmap,h_std_fx7_a_0_1_1_0_8,"(-1, 43)",
70,bitmap,h_std_fx7_a_0_1_1_0_9,"(-3, 45)",
71,bitmap,h_std_fx7_a_0_1_1_0_10,"(-1, 41)",
72,bitmap,h_std_fx7_a_0_1_1_0_11,"(-5, 42)",
73,bitmap,h_std_fx7_a_0_1_1_0_12,"(-5, 44)",
74,bitmap,h_std_fx7_a_0_1_1_0_13,"(-7, 75)",
75,bitmap,h_std_fx7_b_0_1_1_0_0,"(-5, 85)",
76,bitmap,h_std_fx7_b_0_1_1_0_1,"(-8, 86)",
77,bitmap,h_std_fx7_b_0_1_1_0_2,"(-3, 92)",
78,bitmap,h_std_fx7_b_0_1_1_0_3,"(-8, 93)",
79,bitmap,h_std_fx7_b_0_1_1_0_4,"(-13, 98)",
80,bitmap,h_std_fx7_b_0_1_1_0_5,"(-17, 98)",
81,bitmap,h_std_fx7_b_0_1_1_0_6,"(-19, 98)",
82,bitmap,h_std_fx7_b_0_1_1_0_7,"(-15, 94)",
83,bitmap,h_std_fx7_b_0_1_1_0_8,"(-12, 96)",
84,bitmap,h_std_fx7_b_0_1_1_0_9,"(-10, 90)",
85,bitmap,h_std_fx7_b_0_1_1_0_10,"(-7, 86)",
86,bitmap,h_std_fx7_b_0_1_1_0_11,"(-8, 87)",
87,bitmap,h_std_fx7_b_0_1_1_0_12,"(-8, 90)",
88,bitmap,h_std_fx7_b_0_1_1_0_13,"(-10, 84)",
94,bitmap,h_std_fx3_2_1_7_0,"(-16, 4)",
95,bitmap,h_std_fx3_3_1_7_0,"(-5, 75)",
97,palette,fxtorchflame Palette,"(0, 0)",
98,bitmap,h_std_fx5_1_1_0_0,"(-51, 44)",
99,bitmap,h_std_fx5_1_1_1_0,"(-46, 39)",
100,bitmap,h_std_fx5_1_1_2_0,"(-33, 34)",
101,bitmap,h_std_fx5_1_1_3_0,"(-25, 36)",
102,bitmap,h_std_fx5_1_1_4_0,"(-8, 40)",
103,bitmap,h_std_fx5_1_1_5_0,"(-13, 41)",
104,bitmap,h_std_fx5_2_1_0_0,"(-17, 89)",
105,bitmap,h_std_fx5_2_1_0_1,"(-17, 89)",
106,bitmap,h_std_fx5_2_1_0_2,"(-17, 89)",
107,bitmap,h_std_fx5_3_1_0_0,"(-46, 68)",
108,bitmap,h_std_fx5_3_1_0_1,"(-46, 66)",
109,bitmap,h_std_fx5_3_1_0_2,"(-47, 67)",
110,bitmap,h_std_fx5_3_1_0_3,"(-47, 68)",
111,bitmap,h_std_fx5_3_1_0_4,"(-47, 69)",
112,bitmap,h_std_fx5_3_1_0_5,"(-46, 66)",
113,bitmap,h_std_fx5_4_1_0_0,"(-48, 57)",
114,bitmap,h_std_fx5_4_1_0_1,"(-44, 61)",
115,bitmap,h_std_fx5_4_1_0_2,"(-48, 58)",
133,palette,fx_fireflies Palette,"(0, 0)",
134,bitmap,h_std_fx8_1_1_0_0,"(-36, 23)",
135,bitmap,h_std_fx8_1_1_0_1,"(-32, 25)",
136,bitmap,h_std_fx8_1_1_0_2,"(-26, 27)",
137,bitmap,h_std_fx8_1_1_0_3,"(-21, 29)",
138,bitmap,h_std_fx8_1_1_0_4,"(-15, 31)",
139,bitmap,h_std_fx8_1_1_0_5,"(-11, 36)",
140,bitmap,h_std_fx8_1_1_0_6,"(-9, 41)",
141,bitmap,h_std_fx8_1_1_0_7,"(-8, 48)",
142,bitmap,h_std_fx8_1_1_0_8,"(-8, 54)",
143,bitmap,h_std_fx8_1_1_0_9,"(-12, 60)",
144,bitmap,h_std_fx8_1_1_0_10,"(-18, 67)",
145,bitmap,h_std_fx8_1_1_0_11,"(-25, 70)",
146,bitmap,h_std_fx8_1_1_0_12,"(-33, 72)",
147,bitmap,h_std_fx8_1_1_0_13,"(-32, 75)",
148,bitmap,h_std_fx8_1_1_0_14,"(-27, 76)",
149,bitmap,h_std_fx8_1_1_0_15,"(-21, 76)",
150,bitmap,h_std_fx8_1_1_0_16,"(-17, 76)",
151,bitmap,h_std_fx8_1_1_0_17,"(-13, 75)",
152,bitmap,h_std_fx8_1_1_0_18,"(-9, 73)",
153,bitmap,h_std_fx8_1_1_0_19,"(-6, 71)",
154,bitmap,h_std_fx8_1_1_0_20,"(-2, 69)",
157,bitmap,h_std_fx8_2_1_0_0,"(-4, 66)",
158,bitmap,h_std_fx8_2_1_0_1,"(-5, 69)",
159,bitmap,h_std_fx8_2_1_0_2,"(-7, 72)",
160,bitmap,h_std_fx8_2_1_0_3,"(-12, 73)",
161,bitmap,h_std_fx8_2_1_0_4,"(-17, 71)",
162,bitmap,h_std_fx8_2_1_0_5,"(-27, 67)",
163,bitmap,h_std_fx8_2_1_0_6,"(-33, 55)",
164,bitmap,h_std_fx8_2_1_0_7,"(-37, 52)",
165,bitmap,h_std_fx8_2_1_0_8,"(-41, 55)",
166,bitmap,h_std_fx8_2_1_0_9,"(-45, 60)",
167,bitmap,h_std_fx8_2_1_0_10,"(-49, 33)",
168,bitmap,h_std_fx8_2_1_0_11,"(-53, 36)",
169,bitmap,h_std_fx8_2_1_0_12,"(-54, 40)",
170,bitmap,h_std_fx8_2_1_0_13,"(-51, 44)",
171,bitmap,h_std_fx8_2_1_0_14,"(-47, 46)",
172,bitmap,h_std_fx8_2_1_0_15,"(-37, 45)",
173,bitmap,h_std_fx8_2_1_0_16,"(-28, 44)",
174,bitmap,h_std_fx8_2_1_0_17,"(-18, 45)",
175,bitmap,h_std_fx8_2_1_0_18,"(-12, 51)",
176,bitmap,h_std_fx8_2_1_0_19,"(-9, 58)",
177,bitmap,h_std_fx8_2_1_0_20,"(-7, 66)",
180,bitmap,h_std_fx8_3_1_0_0,"(-34, 53)",
181,bitmap,h_std_fx8_3_1_0_1,"(-38, 48)",
182,bitmap,h_std_fx8_3_1_0_2,"(-42, 43)",
183,bitmap,h_std_fx8_3_1_0_3,"(-43, 38)",
184,bitmap,h_std_fx8_3_1_0_4,"(-43, 31)",
185,bitmap,h_std_fx8_3_1_0_5,"(-41, 24)",
186,bitmap,h_std_fx8_3_1_0_6,"(-34, 21)",
187,bitmap,h_std_fx8_3_1_0_7,"(-21, 24)",
188,bitmap,h_std_fx8_3_1_0_8,"(-16, 35)",
189,bitmap,h_std_fx8_3_1_0_9,"(-17, 40)",
190,bitmap,h_std_fx8_3_1_0_10,"(-20, 44)",
191,bitmap,h_std_fx8_3_1_0_11,"(-24, 47)",
192,bitmap,h_std_fx8_3_1_0_12,"(-29, 50)",
193,bitmap,h_std_fx8_3_1_0_13,"(-34, 53)",
194,bitmap,h_std_fx8_3_1_0_14,"(-38, 49)",
195,bitmap,h_std_fx8_3_1_0_15,"(-45, 48)",
196,bitmap,h_std_fx8_3_1_0_16,"(-50, 47)",
197,bitmap,h_std_fx8_3_1_0_17,"(-55, 52)",
198,bitmap,h_std_fx8_3_1_0_18,"(-57, 58)",
199,bitmap,h_std_fx8_3_1_0_19,"(-58, 65)",
200,bitmap,h_std_fx8_3_1_0_20,"(-55, 71)",
201,bitmap,h_std_fx8_3_1_0_21,"(-50, 75)",
202,bitmap,h_std_fx8_3_1_0_22,"(-43, 78)",
203,bitmap,h_std_fx8_3_1_0_23,"(-40, 77)",
204,bitmap,h_std_fx8_3_1_0_24,"(-37, 71)",
205,bitmap,h_std_fx8_3_1_0_25,"(-36, 64)",
206,bitmap,h_std_fx8_3_1_0_26,"(-35, 61)",
207,bitmap,h_std_fx8_3_1_0_27,"(-36, 58)",
208,bitmap,h_std_fx8_3_1_0_28,"(-38, 56)",
221,palette,fxlove Palette,"(0, 0)",
222,bitmap,h_std_fx9_1_1_0_0,"(-20, 41)",
223,bitmap,h_std_fx9_1_1_0_1,"(-20, 43)",
224,bitmap,h_std_fx9_1_1_0_2,"(-19, 45)",
225,bitmap,h_std_fx9_1_1_0_3,"(-18, 48)",
226,bitmap,h_std_fx9_1_1_0_4,"(-16, 51)",
227,bitmap,h_std_fx9_1_1_0_5,"(-15, 53)",
228,bitmap,h_std_fx9_1_1_0_6,"(-14, 55)",
229,bitmap,h_std_fx9_1_1_0_7,"(-14, 57)",
230,bitmap,h_std_fx9_1_1_0_8,"(-14, 59)",
231,bitmap,h_std_fx9_1_1_0_9,"(-14, 61)",
232,bitmap,h_std_fx9_1_1_0_10,"(-15, 63)",
233,bitmap,h_std_fx9_1_1_0_11,"(-16, 66)",
234,bitmap,h_std_fx9_1_1_0_12,"(-17, 68)",
235,bitmap,h_std_fx9_1_1_0_13,"(-18, 70)",
236,bitmap,h_std_fx9_1_1_0_14,"(-18, 71)",
237,bitmap,h_std_fx9_1_1_0_15,"(-19, 73)",
238,bitmap,h_std_fx9_1_1_0_16,"(-19, 74)",
239,bitmap,h_std_fx9_1_1_0_17,"(-19, 76)",
240,bitmap,h_std_fx9_1_1_0_18,"(-19, 78)",
241,bitmap,h_std_fx9_1_1_0_19,"(-18, 80)",
242,bitmap,h_std_fx9_1_1_0_20,"(-17, 82)",
261,bitmap,h_std_fx10_1_1_0_0,"(12, 39)",
262,bitmap,h_std_fx10_1_1_0_1,"(8, 41)",
263,bitmap,h_std_fx10_1_1_0_2,"(9, 43)",
264,bitmap,h_std_fx10_1_1_0_3,"(14, 44)",
265,bitmap,h_std_fx10_1_1_0_4,"(19, 45)",
266,bitmap,h_std_fx10_1_1_0_5,"(22, 46)",
267,bitmap,h_std_fx10_1_1_0_6,"(19, 45)",
268,bitmap,h_std_fx10_1_1_0_7,"(14, 47)",
269,bitmap,h_std_fx10_1_1_0_8,"(10, 47)",
270,bitmap,h_std_fx10_1_1_0_9,"(14, 48)",
271,bitmap,h_std_fx10_1_1_0_10,"(19, 49)",
272,bitmap,h_std_fx10_1_1_0_11,"(22, 49)",
273,bitmap,h_std_fx10_1_1_0_12,"(19, 49)",
