Number,Type,Name,Registration Point,Filename
1,bitmap,h_crr_ri_1_0_0,"(-51, 40)",
2,bitmap,h_crr_ri_1_1_0,"(-44, 35)",
3,bitmap,h_crr_ri_1_2_0,"(-36, 30)",
4,bitmap,h_crr_ri_1_3_0,"(-25, 32)",
5,bitmap,h_crr_ri_1_4_0,"(-9, 36)",
6,bitmap,h_crr_ri_1_5_0,"(-13, 35)",
7,bitmap,h_crr_ri_1_6_0,"(-25, 21)",
8,bitmap,h_crr_ri_1_7_0,"(-27, 21)",
11,bitmap,h_drk_ri_1_0_0,"(-40, 62)",
12,bitmap,h_drk_ri_1_1_0,"(-43, 55)",
13,bitmap,h_drk_ri_1_2_0,"(-38, 53)",
14,bitmap,h_drk_ri_1_3_0,"(-29, 50)",
15,bitmap,h_drk_ri_1_4_0,"(-8, 52)",
16,bitmap,h_drk_ri_1_5_0,"(-6, 54)",
17,bitmap,h_drk_ri_1_6_0,"(-17, 58)",
18,bitmap,h_drk_ri_1_7_0,"(-30, 61)",
21,bitmap,h_crr_ri_2_0_0,"(-52, 52)",
22,bitmap,h_crr_ri_2_1_0,"(-46, 45)",
23,bitmap,h_crr_ri_2_2_0,"(-34, 40)",
24,bitmap,h_crr_ri_2_3_0,"(-25, 42)",
25,bitmap,h_crr_ri_2_4_0,"(-9, 46)",
26,bitmap,h_crr_ri_2_5_0,"(-13, 47)",
27,bitmap,h_crr_ri_2_6_0,"(-25, 21)",
28,bitmap,h_crr_ri_2_7_0,"(-27, 21)",
31,bitmap,h_drk_ri_2_0_0,"(-41, 63)",
32,bitmap,h_drk_ri_2_1_0,"(-43, 55)",
33,bitmap,h_drk_ri_2_2_0,"(-37, 50)",
34,bitmap,h_drk_ri_2_3_0,"(-29, 49)",
35,bitmap,h_drk_ri_2_4_0,"(-6, 52)",
36,bitmap,h_drk_ri_2_5_0,"(-4, 54)",
37,bitmap,h_drk_ri_2_6_0,"(-15, 57)",
38,bitmap,h_drk_ri_2_7_0,"(-30, 62)",
41,bitmap,h_crr_ri_3_0_0,"(-50, 42)",
42,bitmap,h_crr_ri_3_1_0,"(-45, 37)",
43,bitmap,h_crr_ri_3_2_0,"(-32, 32)",
44,bitmap,h_crr_ri_3_3_0,"(-24, 34)",
45,bitmap,h_crr_ri_3_4_0,"(-7, 38)",
46,bitmap,h_crr_ri_3_5_0,"(-12, 39)",
47,bitmap,h_crr_ri_3_6_0,"(-25, 21)",
48,bitmap,h_crr_ri_3_7_0,"(-27, 21)",
51,bitmap,h_drk_ri_3_0_0,"(-40, 60)",
52,bitmap,h_drk_ri_3_1_0,"(-43, 56)",
53,bitmap,h_drk_ri_3_2_0,"(-36, 51)",
54,bitmap,h_drk_ri_3_3_0,"(-27, 49)",
55,bitmap,h_drk_ri_3_4_0,"(-9, 53)",
56,bitmap,h_drk_ri_3_5_0,"(-4, 54)",
57,bitmap,h_drk_ri_3_6_0,"(-13, 58)",
58,bitmap,h_drk_ri_3_7_0,"(-26, 59)",
61,bitmap,h_crr_ri_5_0_0,"(-52, 42)",
62,bitmap,h_crr_ri_5_1_0,"(-45, 38)",
63,bitmap,h_crr_ri_5_2_0,"(-35, 32)",
64,bitmap,h_crr_ri_5_3_0,"(-25, 34)",
65,bitmap,h_crr_ri_5_4_0,"(-7, 38)",
66,bitmap,h_crr_ri_5_5_0,"(-11, 39)",
67,bitmap,h_crr_ri_5_6_0,"(-25, 21)",
68,bitmap,h_crr_ri_5_7_0,"(-27, 21)",
71,bitmap,h_drk_ri_5_0_0,"(-38, 60)",
72,bitmap,h_drk_ri_5_1_0,"(-41, 56)",
73,bitmap,h_drk_ri_5_2_0,"(-39, 51)",
74,bitmap,h_drk_ri_5_3_0,"(-29, 50)",
75,bitmap,h_drk_ri_5_4_0,"(-11, 54)",
76,bitmap,h_drk_ri_5_5_0,"(-7, 56)",
77,bitmap,h_drk_ri_5_6_0,"(-17, 59)",
78,bitmap,h_drk_ri_5_7_0,"(-32, 58)",
81,bitmap,h_crr_ri_6_0_0,"(-51, 42)",
82,bitmap,h_crr_ri_6_1_0,"(-46, 37)",
83,bitmap,h_crr_ri_6_2_0,"(-35, 33)",
84,bitmap,h_crr_ri_6_3_0,"(-27, 32)",
85,bitmap,h_crr_ri_6_4_0,"(-7, 35)",
86,bitmap,h_crr_ri_6_5_0,"(-11, 37)",
87,bitmap,h_crr_ri_6_6_0,"(-39, 49)",
88,bitmap,h_crr_ri_6_7_0,"(-39, 49)",
91,bitmap,h_drk_ri_6_0_0,"(-41, 64)",
92,bitmap,h_drk_ri_6_1_0,"(-44, 57)",
93,bitmap,h_drk_ri_6_2_0,"(-39, 51)",
94,bitmap,h_drk_ri_6_3_0,"(-29, 47)",
95,bitmap,h_drk_ri_6_4_0,"(-8, 55)",
96,bitmap,h_drk_ri_6_5_0,"(-6, 57)",
97,bitmap,h_drk_ri_6_6_0,"(-16, 59)",
98,bitmap,h_drk_ri_6_7_0,"(-39, 49)",
101,bitmap,h_crr_ri_9_0_0,"(-52, 42)",
102,bitmap,h_crr_ri_9_1_0,"(-45, 38)",
103,bitmap,h_crr_ri_9_2_0,"(-35, 32)",
104,bitmap,h_crr_ri_9_3_0,"(-25, 34)",
105,bitmap,h_crr_ri_9_4_0,"(-7, 38)",
106,bitmap,h_crr_ri_9_5_0,"(-11, 39)",
107,bitmap,h_crr_ri_9_6_0,"(-25, 21)",
108,bitmap,h_crr_ri_9_7_0,"(-27, 21)",
111,bitmap,h_drk_ri_9_0_0,"(-38, 60)",
